Cinput1	 Cinput2	 K0	 v0	 ero_rate	 depo_rate1	 depo_rate2	 RRMSE
14.000000	 19.000000	 0.000500	 0.020000	 0.000100	 -0.001000	 -0.003000	 5.217015
14.000000	 19.000000	 0.000500	 0.020000	 0.000100	 -0.001000	 -0.002500	 5.236089
14.000000	 19.000000	 0.000500	 0.020000	 0.000100	 -0.001000	 -0.002000	 5.353500
14.000000	 19.000000	 0.000500	 0.020000	 0.000100	 -0.001000	 -0.001500	 5.578990
14.000000	 19.000000	 0.000500	 0.020000	 0.000100	 -0.001000	 -0.001000	 5.913998
14.000000	 19.000000	 0.000500	 0.020000	 0.000100	 -0.001000	 -0.000500	 6.353992
14.000000	 19.000000	 0.000500	 0.020000	 0.000100	 -0.000800	 -0.003000	 5.236516
14.000000	 19.000000	 0.000500	 0.020000	 0.000100	 -0.000800	 -0.002500	 5.255519
14.000000	 19.000000	 0.000500	 0.020000	 0.000100	 -0.000800	 -0.002000	 5.372505
14.000000	 19.000000	 0.000500	 0.020000	 0.000100	 -0.000800	 -0.001500	 5.597229
14.000000	 19.000000	 0.000500	 0.020000	 0.000100	 -0.000800	 -0.001000	 5.931207
14.000000	 19.000000	 0.000500	 0.020000	 0.000100	 -0.000800	 -0.000500	 6.370012
14.000000	 19.000000	 0.000500	 0.020000	 0.000100	 -0.000600	 -0.003000	 5.279420
14.000000	 19.000000	 0.000500	 0.020000	 0.000100	 -0.000600	 -0.002500	 5.298269
14.000000	 19.000000	 0.000500	 0.020000	 0.000100	 -0.000600	 -0.002000	 5.414332
14.000000	 19.000000	 0.000500	 0.020000	 0.000100	 -0.000600	 -0.001500	 5.637388
14.000000	 19.000000	 0.000500	 0.020000	 0.000100	 -0.000600	 -0.001000	 5.969120
14.000000	 19.000000	 0.000500	 0.020000	 0.000100	 -0.000600	 -0.000500	 6.405328
14.000000	 19.000000	 0.000500	 0.020000	 0.000300	 -0.001000	 -0.003000	 5.209763
14.000000	 19.000000	 0.000500	 0.020000	 0.000300	 -0.001000	 -0.002500	 5.228864
14.000000	 19.000000	 0.000500	 0.020000	 0.000300	 -0.001000	 -0.002000	 5.346433
14.000000	 19.000000	 0.000500	 0.020000	 0.000300	 -0.001000	 -0.001500	 5.572209
14.000000	 19.000000	 0.000500	 0.020000	 0.000300	 -0.001000	 -0.001000	 5.907602
14.000000	 19.000000	 0.000500	 0.020000	 0.000300	 -0.001000	 -0.000500	 6.348039
14.000000	 19.000000	 0.000500	 0.020000	 0.000300	 -0.000800	 -0.003000	 5.229291
14.000000	 19.000000	 0.000500	 0.020000	 0.000300	 -0.000800	 -0.002500	 5.248320
14.000000	 19.000000	 0.000500	 0.020000	 0.000300	 -0.000800	 -0.002000	 5.365463
14.000000	 19.000000	 0.000500	 0.020000	 0.000300	 -0.000800	 -0.001500	 5.590470
14.000000	 19.000000	 0.000500	 0.020000	 0.000300	 -0.000800	 -0.001000	 5.924830
14.000000	 19.000000	 0.000500	 0.020000	 0.000300	 -0.000800	 -0.000500	 6.364074
14.000000	 19.000000	 0.000500	 0.020000	 0.000300	 -0.000600	 -0.003000	 5.272253
